event_type,official_release_timestamp,original_timezone,release_timestamp_utc,official_source,source_document,source_release_identifier,acquisition_timestamp_utc,verification_basis,broker_wall_timestamp
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, THURSDAY, APRIL 30, 2015 BEA 15-19 Personal Income and Outlays, March 2015 Personal income increased $6.2 billion, or less than 0.1 percent, and disposable personal income (DPI) increased $1.6 billion, or less than 0.1",EDT,2015-04-30T12:30:00Z,www.bea.gov,https://www.bea.gov/news/2015/personal-income-and-outlays-march-2015,personal-income-and-outlays-march-2015,2026-09-03T15:45:29.117042Z,official document release or embargo timestamp,2015-04-30T15:30:00
EMPLOYMENT,"embargoed until USDL-15-0838 8:30 a.m. (EDT) Friday, May 8, 2015 Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-5902 * Pr",EDT,2015-05-08T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_05082015.htm,empsit_05082015,2026-09-03T15:43:09.723568Z,official document release or embargo timestamp,2015-05-08T15:30:00
CPI,"embargoed until 8:30 a.m. (EDT) Friday, May 22, 2015 USDL-15-0972 Technical information: (202)691-7000 Reed.Steve@bls.gov www.bls.gov/cpi Media Contact: (202)691-5902 PressOffice@bls.gov CONSUMER PRICE INDEX - APRIL 2015 The Consumer Price Index for All Urban ",EDT,2015-05-22T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_05222015.htm,cpi_05222015,2026-09-03T15:41:10.480178Z,official document release or embargo timestamp,2015-05-22T15:30:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, MONDAY, JUNE 1, 2015 BEA 15-22 Personal Income and Outlays, April 2015 Personal income increased $59.4 billion, or 0.4 percent, and disposable personal income (DPI) increased $48.8 billion, or 0.4 percent, in April, ac",EDT,2015-06-01T12:30:00Z,www.bea.gov,https://www.bea.gov/news/2015/personal-income-and-outlays-april-2015,personal-income-and-outlays-april-2015,2026-09-03T15:45:18.922235Z,official document release or embargo timestamp,2015-06-01T15:30:00
EMPLOYMENT,"embargoed until USDL-15-1057 8:30 a.m. (EDT) Friday, June 5, 2015 Technical information: Household data: (202) 691-6378 � cpsinfo@bls.gov � www.bls.gov/cps Establishment data: (202) 691-6555 � cesinfo@bls.gov � www.bls.gov/ces Media contact: (202) 691-5902 � P",EDT,2015-06-05T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_06052015.htm,empsit_06052015,2026-09-03T15:43:10.957957Z,official document release or embargo timestamp,2015-06-05T15:30:00
CPI,"embargoed until 8:30 a.m. (EDT) Thursday, June 18, 2015 USDL-15-1164 Technical information: (202) 691-7000 Reed.Steve@bls.gov www.bls.gov/cpi Media Contact: (202) 691-5902 PressOffice@bls.gov CONSUMER PRICE INDEX - MAY 2015 The Consumer Price Index for All Urb",EDT,2015-06-18T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_06182015.htm,cpi_06182015,2026-09-03T15:41:11.729704Z,official document release or embargo timestamp,2015-06-18T15:30:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, THURSDAY, JUNE 25, 2015 BEA 15-30 Personal Income and Outlays, May 2015 Personal income increased $79.0 billion, or 0.5 percent, and disposable personal income (DPI) increased $65.5 billion, or 0.5 percent, in May, acc",EDT,2015-06-25T12:30:00Z,www.bea.gov,https://www.bea.gov/news/2015/personal-income-and-outlays-may-2015,personal-income-and-outlays-may-2015,2026-09-03T15:45:30.559626Z,official document release or embargo timestamp,2015-06-25T15:30:00
EMPLOYMENT,"embargoed until USDL-15-1274 8:30 a.m. (EDT) Thursday, July 2, 2015 Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-5902 *",EDT,2015-07-02T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_07022015.htm,empsit_07022015,2026-09-03T15:43:11.806646Z,official document release or embargo timestamp,2015-07-02T15:30:00
CPI,"embargoed until 8:30 a.m. (EDT) Friday, July 17, 2015 USDL-15-1352 Technical information: (202)691-7000 Reed.Steve@bls.gov www.bls.gov/cpi Media Contact: (202)691-5902 PressOffice@bls.gov CONSUMER PRICE INDEX � JUNE 2015 The Consumer Price Index for All Urban ",EDT,2015-07-17T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_07172015.htm,cpi_07172015,2026-09-03T15:41:12.924585Z,official document release or embargo timestamp,2015-07-17T15:30:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, Monday, August 3, 2015 BEA 15-36 Personal Income and Outlays, June 2015; Includes historical revisions Personal income increased $68.1 billion, or 0.4 percent, and disposable personal income (DPI) increased $60.6 billi",EDT,2015-08-03T12:30:00Z,www.bea.gov,https://www.bea.gov/news/2015/personal-income-and-outlays-june-2015-includes-historical-revisions,personal-income-and-outlays-june-2015-includes-historical-revisions,2026-09-03T15:45:27.652387Z,official document release or embargo timestamp,2015-08-03T15:30:00
EMPLOYMENT,"embargoed until USDL-15-1515 8:30 a.m. (EDT) Friday, August 7, 2015 Technical information: Household data: (202) 691-6378 � cpsinfo@bls.gov � www.bls.gov/cps Establishment data: (202) 691-6555 � cesinfo@bls.gov � www.bls.gov/ces Media contact: (202) 691-5902 �",EDT,2015-08-07T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_08072015.htm,empsit_08072015,2026-09-03T15:43:12.601185Z,official document release or embargo timestamp,2015-08-07T15:30:00
CPI,"embargoed until 8:30 a.m. (EDT) Wednesday, August 19, 2015 USDL-15-1591 Technical information: (202) 691-7000 Reed.Steve@bls.gov www.bls.gov/cpi Media Contact: (202) 691-5902 PressOffice@bls.gov CONSUMER PRICE INDEX � JULY 2015 The Consumer Price Index for All",EDT,2015-08-19T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_08192015.htm,cpi_08192015,2026-09-03T15:41:14.117360Z,official document release or embargo timestamp,2015-08-19T15:30:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, Friday, August 28, 2015 BEA 15-39 Personal Income and Outlays, July 2015 Personal income increased $67.1 billion, or 0.4 percent, and disposable personal income (DPI) increased $61.5 billion, or 0.5 percent, in July, a",EDT,2015-08-28T12:30:00Z,www.bea.gov,https://www.bea.gov/news/2015/personal-income-and-outlays-july-2015,personal-income-and-outlays-july-2015,2026-09-03T15:45:26.196710Z,official document release or embargo timestamp,2015-08-28T15:30:00
EMPLOYMENT,"embargoed until USDL-15-1697 8:30 a.m. (EDT) Friday, September 4, 2015 Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-590",EDT,2015-09-04T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_09042015.htm,empsit_09042015,2026-09-03T15:43:13.526070Z,official document release or embargo timestamp,2015-09-04T15:30:00
CPI,"embargoed until 8:30 a.m. (EDT) Wednesday, September 16, 2015 USDL-15-1786 Technical information: (202) 691-7000 Reed.Steve@bls.gov www.bls.gov/cpi Media Contact: (202) 691-5902 PressOffice@bls.gov CONSUMER PRICE INDEX � AUGUST 2015 The Consumer Price Index fo",EDT,2015-09-16T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_09162015.htm,cpi_09162015,2026-09-03T15:41:15.109549Z,official document release or embargo timestamp,2015-09-16T15:30:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, Monday, September 28, 2015 BEA 15-46 Personal Income and Outlays, August 2015 Personal income increased $52.5 billion, or 0.3 percent, and disposable personal income (DPI) increased $47.1 billion, or 0.4 percent, in Au",EDT,2015-09-28T12:30:00Z,www.bea.gov,https://www.bea.gov/news/2015/personal-income-and-outlays-august-2015,personal-income-and-outlays-august-2015,2026-09-03T15:45:20.378381Z,official document release or embargo timestamp,2015-09-28T15:30:00
EMPLOYMENT,"embargoed until USDL-15-1912 8:30 a.m. (EDT) Friday, October 2, 2015 Technical information: Household data: (202) 691-6378 � cpsinfo@bls.gov � www.bls.gov/cps Establishment data: (202) 691-6555 � cesinfo@bls.gov � www.bls.gov/ces Media contact: (202) 691-5902 ",EDT,2015-10-02T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_10022015.htm,empsit_10022015,2026-09-03T15:43:14.450873Z,official document release or embargo timestamp,2015-10-02T15:30:00
CPI,"embargoed until 8:30 a.m. (EDT) October 15, 2015 USDL-15-2006 Technical information: (202) 691-7000 Reed.Steve@bls.gov www.bls.gov/cpi Media Contact: (202) 691-5902 PressOffice@bls.gov CONSUMER PRICE INDEX � SEPTEMBER 2015 The Consumer Price Index for All Urba",EDT,2015-10-15T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_10152015.htm,cpi_10152015,2026-09-03T15:41:16.180016Z,official document release or embargo timestamp,2015-10-15T15:30:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, Friday, October 30, 2015 BEA 15-51 Personal Income and Outlays, September 2015 Personal income increased $18.6 billion, or 0.1 percent, and disposable personal income (DPI) increased $19.2 billion, or 0.1 percent, in S",EDT,2015-10-30T12:30:00Z,www.bea.gov,https://www.bea.gov/news/2015/personal-income-and-outlays-september-2015,personal-income-and-outlays-september-2015,2026-09-03T15:45:34.904356Z,official document release or embargo timestamp,2015-10-30T14:30:00
EMPLOYMENT,"embargoed until USDL-15-2125 8:30 a.m. (EST) Friday, November 6, 2015 Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-5902",EST,2015-11-06T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_11062015.htm,empsit_11062015,2026-09-03T15:43:15.505986Z,official document release or embargo timestamp,2015-11-06T15:30:00
CPI,"embargoed until 8:30 a.m. (EST) November 17, 2015 USDL-15-2202 Technical information: (202) 691-7000 Reed.Steve@bls.gov www.bls.gov/cpi Media Contact: (202) 691-5902 PressOffice@bls.gov CONSUMER PRICE INDEX � OCTOBER 2015 The Consumer Price Index for All Urban",EST,2015-11-17T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_11172015.htm,cpi_11172015,2026-09-03T15:41:17.209683Z,official document release or embargo timestamp,2015-11-17T15:30:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EST, Wednesday, November 25, 2015 BEA 15-56 Personal Income and Outlays, October 2015 Personal income increased $68.1 billion, or 0.4 percent, and disposable personal income (DPI) increased $56.8 billion, or 0.4 percent, in",EST,2015-11-25T13:30:00Z,www.bea.gov,https://www.bea.gov/news/2015/personal-income-and-outlays-october-2015,personal-income-and-outlays-october-2015,2026-09-03T15:45:33.463166Z,official document release or embargo timestamp,2015-11-25T15:30:00
PCE,"FOR RELEASE: 8:30 A.M. EST, Tuesday, December 1, 2015 BEA 15—58 Personal Consumption Expenditures by State, 1997-2014 Today, the U.S. Bureau of Economic Analysis released its first set of official statistics on personal consumption expenditures (PCE) by state ",EST,2015-12-01T13:30:00Z,www.bea.gov,https://www.bea.gov/news/2015/personal-consumption-expenditures-state-1997-2014,personal-consumption-expenditures-state-1997-2014,2026-09-03T15:45:17.455283Z,official document release or embargo timestamp,2015-12-01T15:30:00
EMPLOYMENT,"embargoed until USDL-15-2292 8:30 a.m. (EST) Friday, December 4, 2015 Technical information: Household data: (202) 691-6378 � cpsinfo@bls.gov � www.bls.gov/cps Establishment data: (202) 691-6555 � cesinfo@bls.gov � www.bls.gov/ces Media contact: (202) 691-5902",EST,2015-12-04T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_12042015.htm,empsit_12042015,2026-09-03T15:43:16.515772Z,official document release or embargo timestamp,2015-12-04T15:30:00
CPI,"embargoed until 8:30 a.m. (EST) December 15, 2015 USDL-15-2390 Technical information: (202) 691-7000 Reed.Steve@bls.gov www.bls.gov/cpi Media Contact: (202) 691-5902 PressOffice@bls.gov CONSUMER PRICE INDEX � NOVEMBER 2015 The Consumer Price Index for All Urba",EST,2015-12-15T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_12152015.htm,cpi_12152015,2026-09-03T15:41:18.143030Z,official document release or embargo timestamp,2015-12-15T15:30:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EST, Wednesday, December 23, 2015 BEA 15-67 Personal Income and Outlays, November 2015 Personal income increased $44.4 billion, or 0.3 percent, and disposable personal income (DPI) increased $34.5 billion, or 0.3 percent, i",EST,2015-12-23T13:30:00Z,www.bea.gov,https://www.bea.gov/news/2015/personal-income-and-outlays-november-2015,personal-income-and-outlays-november-2015,2026-09-03T15:45:32.016109Z,official document release or embargo timestamp,2015-12-23T15:30:00
EMPLOYMENT,"embargoed until USDL-16-0001 8:30 a.m. (EST) Friday, January 8, 2016 Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-5902 ",EST,2016-01-08T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_01082016.htm,empsit_01082016,2026-09-03T15:43:17.529733Z,official document release or embargo timestamp,2016-01-08T15:30:00
CPI,"embargoed until 8:30 a.m. (EST) January 20, 2016 USDL-16-0109 Technical information: (202) 691-7000 Reed.Steve@bls.gov www.bls.gov/cpi Media Contact: (202) 691-5902 PressOffice@bls.gov CONSUMER PRICE INDEX � DECEMBER 2015 The Consumer Price Index for All Urban",EST,2016-01-20T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_01202016.htm,cpi_01202016,2026-09-03T15:41:19.180423Z,official document release or embargo timestamp,2016-01-20T15:30:00
FOMC,"For release at 2:00 p.m. EST Share As part of its annual organizational meeting actions, the Federal Open Market Committee reaffirmed its ""Statement on Longer-Run Goals and Monetary Policy Strategy,"" with a revision to clarify that it views its inflation objec",EST,2016-01-27T19:00:00Z,www.federalreserve.gov,https://www.federalreserve.gov/newsevents/pressreleases/monetary20160127b.htm,monetary20160127b,2026-09-03T15:48:32.369189Z,official document release or embargo timestamp,2016-01-27T21:00:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EST, Monday, February 1, 2016 BEA 16-05 Personal Income and Outlays, December 2015 Personal income increased $42.5 billion, or 0.3 percent, and disposable personal income (DPI) increased $37.8 billion, or 0.3 percent, in De",EST,2016-02-01T13:30:00Z,www.bea.gov,https://www.bea.gov/news/2016/personal-income-and-outlays-december-2015,personal-income-and-outlays-december-2015,2026-09-03T15:45:42.081806Z,official document release or embargo timestamp,2016-02-01T15:30:00
EMPLOYMENT,"embargoed until USDL-16-0210 8:30 a.m. (EST) Friday, February 5, 2016 Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-5902",EST,2016-02-05T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_02052016.htm,empsit_02052016,2026-09-03T15:43:18.498088Z,official document release or embargo timestamp,2016-02-05T15:30:00
CPI,"embargoed until 8:30 a.m. (EST) February 19, 2016 USDL-16-0328 Technical information: (202) 691-7000 Reed.Steve@bls.gov www.bls.gov/cpi Media Contact: (202) 691-5902 PressOffice@bls.gov CONSUMER PRICE INDEX � JANUARY 2016 The Consumer Price Index for All Urban",EST,2016-02-19T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_02192016.htm,cpi_02192016,2026-09-03T15:41:20.327798Z,official document release or embargo timestamp,2016-02-19T15:30:00
PCE,"EMBARGOED UNTIL RELEASE AT 10:00 A.M. EST, Friday, February 26, 2016 BEA 16-09 Personal Income and Outlays, January 2016 Personal income increased $79.6 billion, or 0.5 percent, and disposable personal income (DPI) increased $63.5 billion, or 0.5 percent, in J",EST,2016-02-26T15:00:00Z,www.bea.gov,https://www.bea.gov/news/2016/personal-income-and-outlays-january-2016,personal-income-and-outlays-january-2016,2026-09-03T15:45:44.972237Z,official document release or embargo timestamp,2016-02-26T17:00:00
EMPLOYMENT,"embargoed until USDL-16-0420 8:30 a.m. (EST) Friday, March 4, 2016 Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-5902 * ",EST,2016-03-04T13:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_03042016.htm,empsit_03042016,2026-09-03T15:43:19.465895Z,official document release or embargo timestamp,2016-03-04T15:30:00
CPI,"embargoed until 8:30 a.m. (EDT) March 16, 2016 USDL-16-0517 Technical information: (202) 691-7000 Reed.Steve@bls.gov www.bls.gov/cpi Media Contact: (202) 691-5902 PressOffice@bls.gov CONSUMER PRICE INDEX � FEBRUARY 2016 The Consumer Price Index for All Urban C",EDT,2016-03-16T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_03162016.htm,cpi_03162016,2026-09-03T15:41:21.509799Z,official document release or embargo timestamp,2016-03-16T14:30:00
FOMC,For release at 2:00 p.m. EDT Share Information received since the Federal Open Market Committee met in January suggests that economic activity has been expanding at a moderate pace despite the global economic and financial developments of recent months. Househ,EDT,2016-03-16T18:00:00Z,www.federalreserve.gov,https://www.federalreserve.gov/newsevents/pressreleases/monetary20160316a.htm,monetary20160316a,2026-09-03T15:48:32.737066Z,official document release or embargo timestamp,2016-03-16T20:00:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, Monday, March 28, 2016 BEA 16-17 Personal Income and Outlays, February 2016 Personal income increased $23.7 billion, or 0.2 percent, and disposable personal income (DPI) increased $23.7 billion, or 0.2 percent, in Febr",EDT,2016-03-28T12:30:00Z,www.bea.gov,https://www.bea.gov/news/2016/personal-income-and-outlays-february-2016,personal-income-and-outlays-february-2016,2026-09-03T15:45:43.518534Z,official document release or embargo timestamp,2016-03-28T15:30:00
EMPLOYMENT,"embargoed until USDL-16-0662 8:30 a.m. (EDT) Friday, April 1, 2016 Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-5902 * ",EDT,2016-04-01T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_04012016.htm,empsit_04012016,2026-09-03T15:43:20.371766Z,official document release or embargo timestamp,2016-04-01T15:30:00
CPI,"embargoed until 8:30 a.m. (EDT) April 14, 2016 USDL-16-0747 Technical information: (202) 691-7000 Reed.Steve@bls.gov www.bls.gov/cpi Media Contact: (202) 691-5902 PressOffice@bls.gov CONSUMER PRICE INDEX � MARCH 2016 The Consumer Price Index for All Urban Cons",EDT,2016-04-14T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_04142016.htm,cpi_04142016,2026-09-03T15:41:22.729881Z,official document release or embargo timestamp,2016-04-14T15:30:00
FOMC,For release at 2:00 p.m. EDT Share Information received since the Federal Open Market Committee met in March indicates that labor market conditions have improved further even as growth in economic activity appears to have slowed. Growth in household spending h,EDT,2016-04-27T18:00:00Z,www.federalreserve.gov,https://www.federalreserve.gov/newsevents/pressreleases/monetary20160427a.htm,monetary20160427a,2026-09-03T15:48:33.113702Z,official document release or embargo timestamp,2016-04-27T21:00:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, Friday, April 29, 2016 BEA 16-22 Personal Income and Outlays, March 2016 Personal income increased $57.4 billion, or 0.4 percent, and disposable personal income (DPI) increased $50.4 billion, or 0.4 percent, in March, ",EDT,2016-04-29T12:30:00Z,www.bea.gov,https://www.bea.gov/news/2016/personal-income-and-outlays-march-2016,personal-income-and-outlays-march-2016,2026-09-03T15:45:49.405325Z,official document release or embargo timestamp,2016-04-29T15:30:00
EMPLOYMENT,"embargoed until USDL-16-0882 8:30 a.m. (EDT) Friday, May 6, 2016 Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-5902 * Pr",EDT,2016-05-06T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_05062016.htm,empsit_05062016,2026-09-03T15:43:21.272941Z,official document release or embargo timestamp,2016-05-06T15:30:00
CPI,"embargoed until 8:30 a.m. (EDT) May 17, 2016 USDL-16-0986 Technical information: (202) 691-7000 Reed.Steve@bls.gov www.bls.gov/cpi Media Contact: (202) 691-5902 PressOffice@bls.gov CONSUMER PRICE INDEX � APRIL 2016 The Consumer Price Index for All Urban Consum",EDT,2016-05-17T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/cpi_05172016.htm,cpi_05172016,2026-09-03T15:41:23.536351Z,official document release or embargo timestamp,2016-05-17T15:30:00
PCE,"EMBARGOED UNTIL RELEASE AT 8:30 A.M. EDT, Tuesday, May 31, 2016 BEA 16-25 Personal Income and Outlays, April 2016 Personal income increased $69.8 billion, or 0.4 percent, and disposable personal income (DPI) increased $63.5 billion, or 0.5 percent, in April, a",EDT,2016-05-31T12:30:00Z,www.bea.gov,https://www.bea.gov/news/2016/personal-income-and-outlays-april-2016,personal-income-and-outlays-april-2016,2026-09-03T15:45:39.195798Z,official document release or embargo timestamp,2016-05-31T15:30:00
EMPLOYMENT,"embargoed until USDL-16-1096 8:30 a.m. (EDT) Friday, June 3, 2016 Technical information: Household data: (202) 691-6378 * cpsinfo@bls.gov * www.bls.gov/cps Establishment data: (202) 691-6555 * cesinfo@bls.gov * www.bls.gov/ces Media contact: (202) 691-5902 * P",EDT,2016-06-03T12:30:00Z,www.bls.gov,https://www.bls.gov/news.release/archives/empsit_06032016.htm,empsit_06032016,2026-09-03T15:43:22.294808Z,official document release or embargo timestamp,2016-06-03T15:30:00
