request_id,pair,unresolved,gold_rows_in_conservative_65m_envelope
R0338,GBP/USD,False,0
R0339,GBP/USD,False,0
R0340,GBP/USD,False,0
R0341,GBP/USD,False,65
R0342,GBP/USD,True,0
R0343,GBP/USD,True,0
R0344,GBP/USD,True,0
R0345,GBP/USD,True,0
R0346,GBP/USD,True,0
R0347,GBP/USD,True,0
R0348,GBP/USD,True,0
R0349,GBP/USD,True,0
R0350,GBP/USD,True,0
R0351,GBP/USD,True,0
R0352,GBP/USD,True,0
R0353,GBP/USD,True,0
R0354,GBP/USD,True,0
R0355,GBP/USD,True,0
R0356,GBP/USD,True,0
R0357,GBP/USD,True,0
R0358,GBP/USD,True,0
R0359,GBP/USD,True,0
R0360,GBP/USD,True,0
R0361,GBP/USD,True,0
R0362,GBP/USD,False,57
R0363,GBP/USD,True,0
R0364,GBP/USD,True,0
R0365,GBP/USD,True,0
R0366,GBP/USD,True,0
R0367,GBP/USD,True,0
R0368,GBP/USD,True,0
R0369,GBP/USD,True,0
R0370,GBP/USD,True,0
R0371,GBP/USD,True,0
R0372,GBP/USD,True,0
R0373,GBP/USD,True,0
R0374,GBP/USD,False,65
R0375,GBP/USD,False,57
R0376,GBP/USD,True,0
R0377,GBP/USD,True,0
R0378,GBP/USD,True,0
R0379,GBP/USD,False,57
R0380,GBP/USD,True,0
R0381,GBP/USD,True,0
R0382,GBP/USD,True,0
R0383,GBP/USD,True,0
R0384,GBP/USD,True,0
R0385,GBP/USD,True,0
R0386,GBP/USD,True,0
R0387,GBP/USD,False,65
R0388,GBP/USD,False,117
R0389,GBP/USD,False,57
R0390,GBP/USD,True,0
R0391,GBP/USD,True,0
R0392,GBP/USD,True,0
R0393,GBP/USD,True,0
R0394,GBP/USD,True,0
R0395,GBP/USD,True,0
R0396,GBP/USD,True,0
R0397,GBP/USD,True,0
R0398,GBP/USD,True,0
R0399,GBP/USD,True,0
R0400,GBP/USD,True,0
R0401,GBP/USD,True,0
R0402,GBP/USD,True,0
R0403,GBP/USD,True,0
R0404,GBP/USD,True,0
R0405,GBP/USD,True,5
R0406,GBP/USD,False,57
R0407,GBP/USD,True,0
R0408,GBP/USD,True,0
R0409,GBP/USD,True,0
R0410,GBP/USD,True,0
R0411,GBP/USD,True,0
R0412,GBP/USD,True,0
R0413,GBP/USD,True,0
R0414,GBP/USD,False,65
R0415,GBP/USD,True,0
R0416,GBP/USD,True,0
R0417,GBP/USD,True,0
R0418,GBP/USD,True,0
R0419,GBP/USD,True,0
R0420,GBP/USD,True,0
R0421,GBP/USD,True,0
R0422,GBP/USD,True,0
R0423,GBP/USD,True,0
R0424,GBP/USD,True,0
R0425,GBP/USD,True,0
R0426,GBP/USD,True,0
R0427,GBP/USD,True,0
R0428,GBP/USD,True,0
R0429,GBP/USD,True,0
R0430,GBP/USD,True,0
R0431,GBP/USD,True,0
R0432,GBP/USD,True,0
R0433,GBP/USD,True,0
R0434,GBP/USD,True,0
R0435,GBP/USD,True,0
R0436,GBP/USD,True,0
R0437,GBP/USD,True,0
R0438,GBP/USD,True,0
R0439,GBP/USD,False,117
R0440,GBP/USD,True,0
R0441,GBP/USD,True,0
R0442,GBP/USD,True,0
R0443,GBP/USD,True,0
R0444,GBP/USD,True,0
R0445,GBP/USD,True,0
R0446,GBP/USD,True,0
R0447,GBP/USD,True,0
R0448,GBP/USD,True,0
R0449,GBP/USD,True,0
R0450,GBP/USD,True,0
R0451,GBP/USD,True,0
R0452,GBP/USD,True,0
R0453,GBP/USD,True,0
R0454,GBP/USD,False,63
R0455,GBP/USD,True,0
R0456,GBP/USD,True,0
R0457,GBP/USD,True,0
R0458,GBP/USD,True,0
R0459,GBP/USD,True,0
R0460,GBP/USD,True,0
R0461,GBP/USD,True,0
R0462,GBP/USD,True,0
R0463,GBP/USD,True,0
R0464,GBP/USD,False,57
R0465,GBP/USD,True,0
R0466,GBP/USD,True,0
R0467,GBP/USD,True,0
R0468,GBP/USD,True,0
R0469,GBP/USD,True,0
R0470,GBP/USD,True,0
R0471,GBP/USD,True,0
R0472,GBP/USD,True,0
R0473,GBP/USD,True,0
R0474,GBP/USD,True,0
R0475,GBP/USD,True,0
R0476,GBP/USD,True,0
R0477,GBP/USD,False,65
R0478,GBP/USD,True,0
R0479,GBP/USD,True,0
R0480,GBP/USD,True,0
R0481,GBP/USD,True,5
R0482,GBP/USD,False,57
R0483,GBP/USD,True,0
R0484,GBP/USD,True,0
R0485,GBP/USD,True,0
R0486,GBP/USD,False,0
R0487,GBP/USD,False,0
R0488,GBP/USD,False,0
R0489,GBP/USD,True,0
R0490,GBP/USD,True,0
R0491,GBP/USD,True,0
R0492,GBP/USD,True,0
R0493,GBP/USD,True,0
R0494,GBP/USD,False,65
R0495,GBP/USD,True,0
R0496,GBP/USD,True,0
R0497,GBP/USD,True,0
R0498,GBP/USD,True,0
R0499,GBP/USD,True,0
R0500,GBP/USD,True,0
R0501,GBP/USD,True,0
R0502,GBP/USD,True,0
R0503,GBP/USD,True,0
R0504,GBP/USD,True,0
R0505,GBP/USD,False,117
R0506,GBP/USD,True,0
R0507,GBP/USD,True,0
R0508,GBP/USD,True,0
R0509,GBP/USD,True,0
R0510,GBP/USD,True,0
R0511,GBP/USD,True,0
R0512,GBP/USD,True,0
R0513,GBP/USD,True,0
R0514,GBP/USD,True,0
R0515,GBP/USD,True,0
R0516,GBP/USD,True,0
R0517,GBP/USD,True,0
R0518,GBP/USD,True,0
R0519,GBP/USD,True,0
R0520,GBP/USD,True,0
R0521,GBP/USD,True,0
R0522,GBP/USD,True,0
R0523,GBP/USD,True,0
R0524,GBP/USD,True,0
R0525,GBP/USD,True,0
R0526,GBP/USD,True,0
R0527,GBP/USD,True,0
R0528,GBP/USD,True,0
R0529,GBP/USD,True,0
R0530,GBP/USD,True,0
R0531,GBP/USD,True,0
R0532,GBP/USD,True,0
R0533,GBP/USD,True,0
R0534,GBP/USD,True,0
R0535,GBP/USD,True,0
R0536,GBP/USD,True,0
R0537,GBP/USD,True,0
R0538,GBP/USD,True,0
R0539,GBP/USD,True,0
R0540,GBP/USD,True,0
R0541,GBP/USD,True,5
R0542,GBP/USD,True,0
R0543,GBP/USD,True,0
R0544,GBP/USD,True,0
R0545,GBP/USD,True,0
R0546,GBP/USD,True,0
R0547,GBP/USD,True,0
R0548,GBP/USD,True,0
R0549,GBP/USD,True,0
R0550,GBP/USD,True,0
R0551,GBP/USD,True,0
R0552,GBP/USD,True,0
R0553,GBP/USD,True,0
R0554,GBP/USD,True,0
R0555,GBP/USD,True,0
R0556,GBP/USD,True,0
R0557,GBP/USD,True,0
R0558,GBP/USD,True,0
R0559,GBP/USD,True,0
R0560,GBP/USD,True,0
R0561,GBP/USD,True,0
R0562,GBP/USD,True,0
R0563,GBP/USD,True,0
R0564,GBP/USD,True,0
R0565,GBP/USD,True,0
R0566,GBP/USD,True,0
R0567,GBP/USD,True,0
R0568,GBP/USD,True,0
R0569,GBP/USD,True,0
R0570,GBP/USD,True,0
R0571,GBP/USD,True,0
R0572,GBP/USD,True,0
R0573,GBP/USD,True,0
R0574,GBP/USD,True,0
R0575,GBP/USD,True,0
R0576,GBP/USD,True,0
R0577,GBP/USD,True,0
R0578,GBP/USD,False,117
R0579,GBP/USD,True,0
R0580,GBP/USD,True,0
R0581,GBP/USD,True,0
R0582,GBP/USD,True,0
R0583,GBP/USD,True,0
R0584,GBP/USD,True,0
R0585,GBP/USD,True,0
R0586,GBP/USD,True,0
R0587,GBP/USD,True,0
R0588,GBP/USD,True,0
R0589,GBP/USD,True,0
R0590,GBP/USD,True,5
R0591,GBP/USD,True,0
R0592,GBP/USD,True,0
R0593,GBP/USD,True,0
R0594,GBP/USD,True,0
R0595,GBP/USD,True,0
R0596,GBP/USD,True,0
R0597,GBP/USD,True,0
R0598,GBP/USD,True,0
R0599,GBP/USD,True,0
R0600,GBP/USD,True,0
R0601,GBP/USD,True,0
R0602,GBP/USD,True,0
R0603,GBP/USD,True,0
R0604,GBP/USD,True,0
R0605,GBP/USD,True,0
R0606,GBP/USD,True,0
R0607,GBP/USD,True,0
R0608,GBP/USD,True,0
R0609,GBP/USD,True,0
R0610,GBP/USD,True,0
R0611,GBP/USD,True,0
R0612,GBP/USD,True,0
R0613,GBP/USD,True,0
R0614,GBP/USD,True,0
R0615,GBP/USD,True,0
R0616,GBP/USD,True,0
R0617,GBP/USD,True,0
R0618,GBP/USD,True,0
R0619,GBP/USD,True,0
R0620,GBP/USD,True,0
R0621,GBP/USD,True,0
R0622,GBP/USD,False,117
R0623,GBP/USD,True,0
R0624,GBP/USD,True,0
R0625,GBP/USD,False,117
R0626,GBP/USD,False,57
R0627,GBP/USD,True,0
R0628,GBP/USD,True,0
R0629,GBP/USD,True,0
R0630,GBP/USD,True,0
R0631,GBP/USD,True,0
R0632,GBP/USD,True,0
R0633,GBP/USD,True,0
R0634,GBP/USD,True,0
R0635,GBP/USD,True,0
R0636,GBP/USD,True,0
R0637,GBP/USD,True,0
R0638,GBP/USD,True,0
R0639,GBP/USD,True,0
R0640,GBP/USD,True,0
R0641,GBP/USD,True,0
R0642,GBP/USD,True,0
R0643,GBP/USD,True,0
R0644,GBP/USD,True,0
R0645,GBP/USD,True,0
R0646,GBP/USD,True,0
R0647,GBP/USD,True,0
R0648,GBP/USD,False,0
R0649,GBP/USD,False,0
R0650,GBP/USD,True,63
R0651,GBP/USD,False,65
R0652,GBP/USD,True,0
R0653,GBP/USD,True,0
R0654,GBP/USD,True,0
R0655,GBP/USD,True,0
R0656,GBP/USD,True,0
R0657,GBP/USD,True,5
R0658,GBP/USD,True,0
R0659,GBP/USD,True,0
R0660,GBP/USD,True,0
R0661,GBP/USD,True,0
R0662,GBP/USD,True,0
R0663,GBP/USD,True,0
R0664,GBP/USD,True,0
R0665,GBP/USD,True,0
R0666,GBP/USD,True,0
R0667,GBP/USD,True,0
R0668,GBP/USD,True,0
R0669,GBP/USD,True,0
R0670,GBP/USD,True,0
R0671,GBP/USD,True,5
R0672,GBP/USD,False,0
R0673,GBP/USD,False,0
R0674,GBP/USD,False,0
R0675,GBP/USD,False,0
R0676,GBP/USD,False,0
R0677,GBP/USD,True,0
R0678,GBP/USD,True,0
R0679,GBP/USD,True,0
R0680,GBP/USD,False,57
R0681,GBP/USD,True,0
R0682,GBP/USD,True,0
R0683,GBP/USD,True,0
R0684,GBP/USD,True,0
R0685,GBP/USD,True,0
R0686,GBP/USD,True,0
R0687,USD/JPY,False,0
R0688,USD/JPY,True,0
R0689,USD/JPY,True,0
R0690,USD/JPY,True,0
R0691,USD/JPY,True,0
R0692,USD/JPY,True,0
R0693,USD/JPY,True,0
R0694,USD/JPY,True,0
R0695,USD/JPY,True,0
R0696,USD/JPY,True,0
R0697,USD/JPY,True,0
R0698,USD/JPY,True,0
R0699,USD/JPY,True,0
R0700,USD/JPY,True,0
R0701,USD/JPY,True,0
R0702,USD/JPY,False,57
R0703,USD/JPY,True,0
R0704,USD/JPY,True,0
R0705,USD/JPY,True,0
R0706,USD/JPY,True,0
R0707,USD/JPY,True,0
R0708,USD/JPY,True,0
R0709,USD/JPY,True,0
R0710,USD/JPY,True,0
R0711,USD/JPY,True,0
R0712,USD/JPY,True,0
R0713,USD/JPY,True,0
R0714,USD/JPY,True,0
R0715,USD/JPY,True,0
R0716,USD/JPY,True,0
R0717,USD/JPY,True,0
R0718,USD/JPY,True,0
R0719,USD/JPY,True,0
R0720,USD/JPY,True,0
R0721,USD/JPY,True,0
R0722,USD/JPY,False,0
R0723,USD/JPY,False,0
R0724,USD/JPY,True,0
R0725,USD/JPY,False,65
R0726,USD/JPY,True,0
R0727,USD/JPY,True,0
R0728,USD/JPY,True,0
R0729,USD/JPY,True,0
R0730,USD/JPY,True,0
R0731,USD/JPY,True,0
R0732,USD/JPY,True,0
R0733,USD/JPY,True,0
R0734,USD/JPY,True,0
R0735,USD/JPY,True,0
R0736,USD/JPY,True,0
R0737,USD/JPY,True,0
R0738,USD/JPY,True,0
R0739,USD/JPY,False,0
R0740,USD/JPY,False,57
R0741,USD/JPY,True,0
R0742,USD/JPY,True,0
R0743,USD/JPY,True,0
R0744,USD/JPY,True,0
R0745,USD/JPY,True,0
R0746,USD/JPY,True,0
R0747,USD/JPY,True,0
R0748,USD/JPY,True,0
R0749,USD/JPY,True,0
R0750,USD/JPY,True,0
R0751,USD/JPY,True,0
R0752,USD/JPY,False,57
R0753,USD/JPY,True,0
R0754,USD/JPY,True,0
R0755,USD/JPY,True,0
R0756,USD/JPY,True,0
R0757,USD/JPY,True,0
R0758,USD/JPY,True,0
R0759,USD/JPY,True,0
R0760,USD/JPY,True,0
R0761,USD/JPY,True,0
R0762,USD/JPY,True,0
R0763,USD/JPY,True,0
R0764,USD/JPY,True,0
R0765,USD/JPY,True,0
R0766,USD/JPY,True,0
R0767,USD/JPY,True,0
R0768,USD/JPY,True,0
R0769,USD/JPY,True,0
R0770,USD/JPY,True,0
R0771,USD/JPY,True,0
R0772,USD/JPY,True,0
R0773,USD/JPY,True,0
R0774,USD/JPY,True,0
R0775,USD/JPY,True,0
R0776,USD/JPY,False,63
R0777,USD/JPY,False,0
R0778,USD/JPY,True,0
R0779,USD/JPY,True,0
R0780,USD/JPY,True,0
R0781,USD/JPY,False,65
R0782,USD/JPY,True,0
