official_statement_url,statement_release_date,statement_release_time_local,original_timezone,scheduled_or_unscheduled,meeting_start_date,meeting_end_date,meeting_detail_url,meeting_evidence_quote,identity_quote,date_quote,time_quote
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20190501a.htm","2019-05-01","14:00:00","EDT","scheduled","2019-04-30","2019-05-01","https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm","April/May 30-1 Meeting - 2019","Federal Reserve issues FOMC statement","May 01, 2019","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20190619a.htm","2019-06-19","14:00:00","EDT","scheduled","2019-06-18","2019-06-19","https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm","June 18-19 Meeting - 2019","Federal Reserve issues FOMC statement","June 19, 2019","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20190731a.htm","2019-07-31","14:00:00","EDT","scheduled","2019-07-30","2019-07-31","https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm","July 30-31 Meeting - 2019","Federal Reserve issues FOMC statement","July 31, 2019","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20190918a.htm","2019-09-18","14:00:00","EDT","scheduled","2019-09-17","2019-09-18","https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm","September 17-18 Meeting - 2019","Federal Reserve issues FOMC statement","September 18, 2019","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20191030a.htm","2019-10-30","14:00:00","EDT","scheduled","2019-10-29","2019-10-30","https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm","October 29-30 Meeting - 2019","Federal Reserve issues FOMC statement","October 30, 2019","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20191211a.htm","2019-12-11","14:00:00","EST","scheduled","2019-12-10","2019-12-11","https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm","December 10-11 Meeting - 2019","Federal Reserve issues FOMC statement","December 11, 2019","For release at 2:00 p.m. EST"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20200129a.htm","2020-01-29","14:00:00","EST","scheduled","2020-01-28","2020-01-29","https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm","January 28-29 Meeting - 2020","Federal Reserve issues FOMC statement","January 29, 2020","For release at 2:00 p.m. EST"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20200303a.htm","2020-03-03","10:00:00","EST","unscheduled","2020-03-02","2020-03-02","https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm","March 2 (unscheduled) Meeting - 2020","Federal Reserve issues FOMC statement","March 03, 2020","For release at 10:00 a.m. EST"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20200315a.htm","2020-03-15","17:00:00","EDT","unscheduled","2020-03-15","2020-03-15","https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm","March 15 (unscheduled) Meeting - 2020","Federal Reserve issues FOMC statement","March 15, 2020","For release at 5:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20200323a.htm","2020-03-23","08:00:00","EDT","unscheduled","2020-03-23","2020-03-23","https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm","March 23 (notation vote) - 2020","Federal Reserve issues FOMC statement","March 23, 2020","For release at 8:00 a.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20200429a.htm","2020-04-29","14:00:00","EDT","scheduled","2020-04-28","2020-04-29","https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm","April 28-29 Meeting - 2020","Federal Reserve issues FOMC statement","April 29, 2020","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20200610a.htm","2020-06-10","14:00:00","EDT","scheduled","2020-06-09","2020-06-10","https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm","June 9-10 Meeting - 2020","Federal Reserve issues FOMC statement","June 10, 2020","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20200729a.htm","2020-07-29","14:00:00","EDT","scheduled","2020-07-28","2020-07-29","https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm","July 28-29 Meeting - 2020","Federal Reserve issues FOMC statement","July 29, 2020","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20200916a.htm","2020-09-16","14:00:00","EDT","scheduled","2020-09-15","2020-09-16","https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm","September 15-16 Meeting - 2020","Federal Reserve issues FOMC statement","September 16, 2020","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20201105a.htm","2020-11-05","14:00:00","EST","scheduled","2020-11-04","2020-11-05","https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm","November 4-5 Meeting - 2020","Federal Reserve issues FOMC statement","November 05, 2020","For release at 2:00 p.m. EST"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20201216a.htm","2020-12-16","14:00:00","EST","scheduled","2020-12-15","2020-12-16","https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm","December 15-16 Meeting - 2020","Federal Reserve issues FOMC statement","December 16, 2020","For release at 2:00 p.m. EST"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20210127a.htm","2021-01-27","14:00:00","EST","scheduled","2021-01-26","2021-01-27","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","January 26-27 Statement:","Federal Reserve issues FOMC statement","January 27, 2021","For release at 2:00 p.m. EST"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20210317a.htm","2021-03-17","14:00:00","EDT","scheduled","2021-03-16","2021-03-17","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","March 16-17* Statement:","Federal Reserve issues FOMC statement","March 17, 2021","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20210428a.htm","2021-04-28","14:00:00","EDT","scheduled","2021-04-27","2021-04-28","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","April 27-28 Statement:","Federal Reserve issues FOMC statement","April 28, 2021","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20210616a.htm","2021-06-16","14:00:00","EDT","scheduled","2021-06-15","2021-06-16","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","June 15-16* Statement:","Federal Reserve issues FOMC statement","June 16, 2021","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20210728a.htm","2021-07-28","14:00:00","EDT","scheduled","2021-07-27","2021-07-28","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","July 27-28 Statement:","Federal Reserve issues FOMC statement","July 28, 2021","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20210922a.htm","2021-09-22","14:00:00","EDT","scheduled","2021-09-21","2021-09-22","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","September 21-22* Statement:","Federal Reserve issues FOMC statement","September 22, 2021","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20211103a.htm","2021-11-03","14:00:00","EDT","scheduled","2021-11-02","2021-11-03","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","November 2-3 Statement:","Federal Reserve issues FOMC statement","November 03, 2021","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20211215a.htm","2021-12-15","14:00:00","EST","scheduled","2021-12-14","2021-12-15","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","December 14-15* Statement:","Federal Reserve issues FOMC statement","December 15, 2021","For release at 2:00 p.m. EST"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20220126a.htm","2022-01-26","14:00:00","EST","scheduled","2022-01-25","2022-01-26","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","January 25-26 Statement:","Federal Reserve issues FOMC statement","January 26, 2022","For release at 2:00 p.m. EST"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20220316a.htm","2022-03-16","14:00:00","EDT","scheduled","2022-03-15","2022-03-16","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","March 15-16* Statement:","Federal Reserve issues FOMC statement","March 16, 2022","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20220504a.htm","2022-05-04","14:00:00","EDT","scheduled","2022-05-03","2022-05-04","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","May 3-4 Statement:","Federal Reserve issues FOMC statement","May 04, 2022","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20220615a.htm","2022-06-15","14:00:00","EDT","scheduled","2022-06-14","2022-06-15","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","June 14-15* Statement:","Federal Reserve issues FOMC statement","June 15, 2022","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20220727a.htm","2022-07-27","14:00:00","EDT","scheduled","2022-07-26","2022-07-27","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","July 26-27 Statement:","Federal Reserve issues FOMC statement","July 27, 2022","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20220921a.htm","2022-09-21","14:00:00","EDT","scheduled","2022-09-20","2022-09-21","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","September 20-21* Statement:","Federal Reserve issues FOMC statement","September 21, 2022","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20221102a.htm","2022-11-02","14:00:00","EDT","scheduled","2022-11-01","2022-11-02","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","November 1-2 Statement:","Federal Reserve issues FOMC statement","November 02, 2022","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20221214a.htm","2022-12-14","14:00:00","EST","scheduled","2022-12-13","2022-12-14","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","December 13-14* Statement:","Federal Reserve issues FOMC statement","December 14, 2022","For release at 2:00 p.m. EST"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20230201a.htm","2023-02-01","14:00:00","EST","scheduled","2023-01-31","2023-02-01","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","Jan/Feb 31-1 Statement:","Federal Reserve issues FOMC statement","February 01, 2023","For release at 2:00 p.m. EST"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20230322a.htm","2023-03-22","14:00:00","EDT","scheduled","2023-03-21","2023-03-22","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","March 21-22* Statement:","Federal Reserve issues FOMC statement","March 22, 2023","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20230503a.htm","2023-05-03","14:00:00","EDT","scheduled","2023-05-02","2023-05-03","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","May 2-3 Statement:","Federal Reserve issues FOMC statement","May 03, 2023","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20230614a.htm","2023-06-14","14:00:00","EDT","scheduled","2023-06-13","2023-06-14","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","June 13-14* Statement:","Federal Reserve issues FOMC statement","June 14, 2023","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20230726a.htm","2023-07-26","14:00:00","EDT","scheduled","2023-07-25","2023-07-26","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","July 25-26 Statement:","Federal Reserve issues FOMC statement","July 26, 2023","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20230920a.htm","2023-09-20","14:00:00","EDT","scheduled","2023-09-19","2023-09-20","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","September 19-20* Statement:","Federal Reserve issues FOMC statement","September 20, 2023","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20231101a.htm","2023-11-01","14:00:00","EDT","scheduled","2023-10-31","2023-11-01","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","Oct/Nov 31-1 Statement:","Federal Reserve issues FOMC statement","November 01, 2023","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20231213a.htm","2023-12-13","14:00:00","EST","scheduled","2023-12-12","2023-12-13","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","December 12-13* Statement:","Federal Reserve issues FOMC statement","December 13, 2023","For release at 2:00 p.m. EST"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20240131a.htm","2024-01-31","14:00:00","EST","scheduled","2024-01-30","2024-01-31","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","January 30-31 Statement:","Federal Reserve issues FOMC statement","January 31, 2024","For release at 2:00 p.m. EST"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20240320a.htm","2024-03-20","14:00:00","EDT","scheduled","2024-03-19","2024-03-20","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","March 19-20* Statement:","Federal Reserve issues FOMC statement","March 20, 2024","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20240501a.htm","2024-05-01","14:00:00","EDT","scheduled","2024-04-30","2024-05-01","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","Apr/May 30-1 Statement:","Federal Reserve issues FOMC statement","May 01, 2024","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20240612a.htm","2024-06-12","14:00:00","EDT","scheduled","2024-06-11","2024-06-12","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","June 11-12* Statement:","Federal Reserve issues FOMC statement","June 12, 2024","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20240731a.htm","2024-07-31","14:00:00","EDT","scheduled","2024-07-30","2024-07-31","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","July 30-31 Statement:","Federal Reserve issues FOMC statement","July 31, 2024","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20240918a.htm","2024-09-18","14:00:00","EDT","scheduled","2024-09-17","2024-09-18","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","September 17-18* Statement:","Federal Reserve issues FOMC statement","September 18, 2024","For release at 2:00 p.m. EDT"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20241107a.htm","2024-11-07","14:00:00","EST","scheduled","2024-11-06","2024-11-07","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","November 6-7 Statement:","Federal Reserve issues FOMC statement","November 07, 2024","For release at 2:00 p.m. EST"
"https://www.federalreserve.gov/newsevents/pressreleases/monetary20241218a.htm","2024-12-18","14:00:00","EST","scheduled","2024-12-17","2024-12-18","https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","December 17-18* Statement:","Federal Reserve issues FOMC statement","December 18, 2024","For release at 2:00 p.m. EST"
